batter_full_name,total_runs,balls_faced,matches,fours,sixes,strike_rate
Virat Kohli,8671,6505,259,774,292,133.3
Rohit Sharma,7048,5317,266,640,303,132.56
Shikhar Dhawan,6769,5304,221,768,153,127.62
David Warner,6567,4680,184,663,236,140.32
Suresh Raina,5536,4025,200,506,204,137.54
MS Dhoni,5439,3935,241,375,264,138.22
KL Rahul,5235,3836,135,453,208,136.47
AB de Villiers,5181,3400,170,414,253,152.38
Ajinkya Rahane,5032,4021,183,515,123,125.14
Chris Gayle,4997,3331,141,408,359,150.02
